Structure;Index;Name;Visible;Tagged;Visibility Locked;Color;Calculate Charges;Number of Atoms;Molecular Formula;Molecular Composition;Molecular Weight;Exact Mol. Weight;Net Formal Charge;SourceTag;Compound;# Confs.;Matching Features;Score;Best Match;Pharmacophore-Fit Score;Source Database;Active/Decoy;mol index;Pharmacophore fit Score;Mol. Index
;351;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;943029-50-3 (R);500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.2191;Model-1-1;45.22;DHC_full.ldb;unknown;;;
;352;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;950169-43-4;470;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.1703;Model-1-1;45.17;DHC_full.ldb;unknown;;;
;353;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;943029-50-3 (S);500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.817;Model-1-1;45.82;DHC_full.ldb;unknown;;;
;354;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;943029-51-4 (S);500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.7492;Model-1-1;45.75;DHC_full.ldb;unknown;;;
;355;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;943029-51-4 (R);500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.8357;Model-1-1;45.84;DHC_full.ldb;unknown;;;
;356;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;a,ß-Dihydroxanthohumol;302;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.4997;Model-1-1;46.5;DHC_full.ldb;unknown;;;
;357;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Balsacone C;500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.1094;Model-1-1;46.11;DHC_full.ldb;unknown;;;
;358;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Balsacone A;500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.8628;Model-1-1;46.86;DHC_full.ldb;unknown;;;
;359;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Balsacone B;500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.0908;Model-1-1;46.09;DHC_full.ldb;unknown;;;
;360;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Brackenin (RR);134;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.5013;Model-1-1;45.5;DHC_full.ldb;unknown;;;
;361;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Bipinnatone B;500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.3901;Model-1-1;45.39;DHC_full.ldb;unknown;;;
;362;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Brackenin (RS);224;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.0184;Model-1-1;45.02;DHC_full.ldb;unknown;;;
;363;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Calomelanol B (S);210;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.1048;Model-1-1;46.1;DHC_full.ldb;unknown;;;
;364;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Calomelanol C (R);165;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.7044;Model-1-1;46.7;DHC_full.ldb;unknown;;;
;365;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Calomelanol B (R);138;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.0766;Model-1-1;46.08;DHC_full.ldb;unknown;;;
;366;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Balsacone P;500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.0059;Model-1-1;46.01;DHC_full.ldb;unknown;;;
;367;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Calomelanol C (S);256;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.8065;Model-1-1;46.81;DHC_full.ldb;unknown;;;
;368;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Brackenin (SS);140;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.6719;Model-1-1;45.67;DHC_full.ldb;unknown;;;
;369;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Carambolaside A;82;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.8651;Model-1-1;46.87;DHC_full.ldb;unknown;;;
;370;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;Ceratiolin (R);103;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;44.7211;Model-1-1;44.72;DHC_full.ldb;unknown;;;
