205109-24-6;CC(C)(O)CCCC1(C)CCc2c(O)cc(O)c(C(=O)CCc3cc(O)c4OC(C)(C)C=Cc4c3)c2O1
2055142-01-1;COc1cc(O)c(CC(CC=C(C)C)C(=C)C)c(O)c1C(=O)CCc2ccc(O)cc2O
2058292-98-9;O[C@@H]1C(COC(=O)\C=C\c2ccc(O)cc2)O[C@@H](Oc3cc(O)c(C(=O)CCc4ccc(O)cc4)c(O)c3)[C@@H](O)C1O
2058292-99-0;COc1cc(\C=C\C(=O)OCC2O[C@@H](Oc3cc(O)c(C(=O)CCc4ccc(O)cc4)c(O)c3)[C@@H](O)C(O)[C@H]2O)ccc1O
209861-22-3;COc1cc(O)c(CCC(=O)c2ccccc2)c(OC)c1OC
215598-63-3;COc1cc(O)cc(OC)c1C(=O)CCc2ccccc2
220443-00-5 (R);COc1cc(O)cc(O)c1C(=O)C[C@@H](O)c2ccc(O)cc2
220443-00-5 (S);COc1cc(O)cc(O)c1C(=O)C[C@H](O)c2ccc(O)cc2
22141-31-7;COc1ccc(C(=O)CCc2ccccc2)c(O)c1
222159-58-2;O[C@H](Cc1ccc(O)c(O)c1)C(=O)c2ccc(O)cc2O
23050-05-7;CC(C)CCc1cc(CCC(=O)c2ccc(O)c(CCC(C)C)c2O)cc3CCC(C)(C)Oc13
23050-06-8;CC(C)CCc1cc(CCC(=O)c2ccc(OC(=O)C)c(CCC(C)C)c2OC(=O)C)cc3CCC(C)(C)Oc13
25324-31-6;OCC1O[C@@H](Oc2cc(O)c(C(=O)CCc3ccc(O)cc3)c(O[C@@H]4OC(CO)[C@@H](O)C(O)[C@@H]4O)c2)[C@@H](O)C(O)[C@@H]1O
279219-89-5;COc1cc(OC)c(OC)c(O)c1CCC(=O)c2ccccc2
3',4,5'-trihydroxy-4'-methoxydihydrochalcone;COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)C(O)C2O)c(C(=O)CCc3ccc(O)cc3)c(O[C@@H]4O[C@H](CO)[C@@H](O)C(O)C4O)c1
3-Hydroxyasebotin;COc1cc(O)c(C(=O)CCc2ccc(O)c(O)c2)c(O[C@@H]3OC(CO)[C@@H](O)C(O)[C@@H]3O)c1
3-Hydroxyphloridzin;OCC1O[C@@H](Oc2cc(O)cc(O)c2C(=O)CCc3ccc(O)c(O)c3)[C@@H](O)C(O)[C@@H]1O
3-OH-phloretin;Oc1cc(O)c(C(=O)CCc2ccc(O)c(O)c2)c(O)c1
307500-80-7;COc1ccc(C(=O)CCc2ccc(O)cc2)c(OC)c1
307991-34-0;CC(=O)OCC1O[C@@H](Oc2cc(O)cc(O)c2C(=O)CCc3ccc(O)cc3)[C@@H](O)C(O)[C@@H]1O
31018-48-1;OCC1O[C@@H](Oc2cc(O)cc(O)c2C(=O)CCc3ccccc3)[C@@H](O)C(O)[C@@H]1O
3516-95-8;Oc1ccccc1C(=O)CCc2ccccc2
35241-55-5;COc1cc(O)c(C(=O)CCc2ccccc2)c(O)c1
4'-O-Methyldavidigenin;COc1ccc(C(=O)CCc2ccc(O)cc2)c(O)c1
4'-O-Methyldavidioside;COc1ccc(C(=O)CCc2ccc(O)cc2)c(O[C@@H]3OC(CO)[C@@H](O)C(O)[C@@H]3O)c1
4-Methoxyphlorizin;COc1ccc(CCC(=O)c2c(O)cc(O)cc2OC3OC(CO)C(O)C(O)C3O)cc1
4-O-Methyldavidigenin;COc1ccc(CCC(=O)c2ccc(O)cc2O)cc1
41350-96-3;COc1cc(OC)c(C(=O)CCc2ccc(O)cc2)c(OC)c1
4369-35-1;COc1ccc(CCC(=O)c2c(O)cc(O)cc2O[C@@H]3OC(CO)[C@@H](O)C(O)[C@@H]3O)cc1
486425-53-0;COc1cc(CCC(=O)c2c(O)cccc2O[C@@H]3OC(CO)[C@H](O)C(O)[C@@H]3O)cc(OC)c1OC
50773-33-6;COc1ccc(CCC(=O)c2cc3CCC(C)(C)Oc3c(CCC(C)C)c2O)c(OC)c1
51857-10-4;COc1ccc(CCC(=O)c2c(O)c(CC(CCC(C)C)C(C)C)c(OC)cc2OC)c(OC)c1
53596-71-7;Oc1ccc(C(=O)CCc2ccccc2)c(O)c1
61463-10-3;COc1cc(O)c(C(=O)CCc2ccccc2)c(O)c1Cc3ccccc3O
620611-78-1;CC1O[C@H](OCC2O[C@@H](Oc3cc(O)c(C(=O)CCc4ccc(O)c(O)c4)c(O)c3)[C@@H](O)C(O)[C@@H]2O)[C@H](O)C(O)[C@@H]1O
622851-66-5;COc1cc(OC)c(C(=O)CCc2ccc3OCOc3c2)c(OC)c1
64490-08-0;Oc1ccc(CCC(=O)c2c(O)cccc2O)cc1
65236-01-3;COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(OC)c1
70155-33-8;Cc1c(O)cc(O)c(C(=O)CCc2ccccc2)c1O
72463-72-0;COc1cc(CCC(=O)c2ccc(O)cc2O)ccc1O
73519-16-1;OCC1O[C@@H](Oc2cc(O)c(C(=O)CCc3ccccc3)c(O)c2)[C@@H](O)C(O)[C@@H]1O
75679-58-2;COc1ccc(CCC(=O)c2c(O)cc(O)cc2OC)cc1
76015-51-5;CC(=CCC\C(=C/Cc1c(O)c(O)c(O)c(C(=O)CCc2ccc(O)cc2)c1O)\C)C
